City,Population,State,Latitude,Longitude,Cost of Living,min_distance,pop_norm,col_norm,dist_norm,cost_score,prox_score,demand_score,final_score
Mumbai,12442373,Maharashtra,18.9068356,75.6741579,185.7,0.0,1.0,0.9999999999999998,0.0,2.220446049250313e-16,1.0,1.0,0.8
Delhi,11034555,Delhi,28.6328027,77.2197713,175.2,34.13290208141842,0.8859221481691743,0.8846153846153846,0.0590036977685071,0.1153846153846154,0.9409963022314928,0.8859221481691743,0.748336887830958
Ahmedabad,5577940,Gujarat,22.3850051,71.745261,125.6,0.0,0.4437634902546849,0.3395604395604394,0.0,0.6604395604395605,1.0,0.4437634902546849,0.6539696572152546
Surat,4467797,Gujarat,22.3850051,71.745261,118.7,0.0,0.353806742532303,0.2637362637362637,0.0,0.7362637362637363,1.0,0.353806742532303,0.6241561185188989
Hyderabad,6993262,Telangana,17.8495919,79.1151663,142.3,108.00781979973844,0.5584494037810838,0.5230769230769232,0.1867072638856708,0.4769230769230768,0.8132927361143292,0.5584494037810838,0.6185971381094559
Chennai,4646732,Tamil Nadu,10.9094334,78.3665347,138.9,0.0,0.3683061454503995,0.4857142857142857,0.0,0.5142857142857142,1.0,0.3683061454503995,0.5870102155823427
Bengaluru,8443675,Karnataka,14.5203896,75.7223521,165.8,196.2036834718282,0.6759787998447109,0.7813186813186814,0.3391666730542039,0.2186813186813185,0.660833326945796,0.6759787998447109,0.5799756617423579
Jaipur,3046163,Rajasthan,26.8105777,73.7684549,115.8,0.0,0.2386093570679433,0.2318681318681319,0.0,0.7681318681318681,1.0,0.2386093570679433,0.5729310521603452
Indore,1964086,Madhya Pradesh,23.8143419,77.5340719,102.6,0.0,0.1509268443599482,0.0868131868131867,0.0,0.9131868131868132,1.0,0.1509268443599482,0.5581007848173367
Nagpur,2405665,Maharashtra,18.9068356,75.6741579,112.3,0.0,0.1867087307498112,0.1934065934065933,0.0,0.8065934065934066,1.0,0.1867087307498112,0.554673046693587
Bhopal,1798218,Madhya Pradesh,23.8143419,77.5340719,108.9,0.0,0.1374862823501746,0.1560439560439561,0.0,0.8439560439560438,1.0,0.1374862823501746,0.5375343499662961
Visakhapatnam,1728128,Andhra Pradesh,15.9240905,80.1863809,110.2,0.0,0.1318067721898964,0.1703296703296704,0.0,0.8296703296703296,1.0,0.1318067721898964,0.5318374520290141
Gwalior,1054420,Madhya Pradesh,23.8143419,77.5340719,102.8,0.0,0.0772150839168086,0.0890109890109889,0.0,0.9109890109890112,1.0,0.0772150839168086,0.5208053441562066
Kota,1001694,Rajasthan,26.8105777,73.7684549,102.1,0.0,0.0729426077759778,0.0813186813186812,0.0,0.9186813186813187,1.0,0.0729426077759778,0.5202075676242527
Jodhpur,1033756,Rajasthan,26.8105777,73.7684549,103.4,0.0,0.0755406453670585,0.0956043956043957,0.0,0.9043956043956044,1.0,0.0755406453670585,0.5186494435626501
Jabalpur,1055525,Madhya Pradesh,23.8143419,77.5340719,104.1,0.0,0.0773046239186221,0.1032967032967031,0.0,0.8967032967032968,1.0,0.0773046239186221,0.5179929712999705
Rajkot,1286678,Gujarat,22.3850051,71.745261,108.4,0.0,0.0960353388862179,0.1505494505494506,0.0,0.8494505494505493,1.0,0.0960353388862179,0.5179077793332189
Vadodara,1670806,Gujarat,22.3850051,71.745261,116.5,0.0,0.1271618744668622,0.2395604395604396,0.0,0.7604395604395604,1.0,0.1271618744668622,0.5156688493213432
Tiruchirappalli,916674,Tamil Nadu,10.9094334,78.3665347,103.2,0.0,0.0660532946952694,0.0934065934065935,0.0,0.9065934065934064,1.0,0.0660532946952694,0.514345328666316
Salem,831038,Tamil Nadu,10.9094334,78.3665347,101.9,0.0,0.0591140661022378,0.0791208791208792,0.0,0.9208791208791208,1.0,0.0591140661022378,0.5137328572269431
Madurai,1017865,Tamil Nadu,10.9094334,78.3665347,105.8,0.0,0.074252971006137,0.1219780219780219,0.0,0.878021978021978,1.0,0.074252971006137,0.5127308811074641
Bikaner,647804,Rajasthan,26.8105777,73.7684549,99.3,0.0,0.0442663080096651,0.0505494505494505,0.0,0.9494505494505494,1.0,0.0442663080096651,0.5120232638949425
Solapur,951118,Maharashtra,18.9068356,75.6741579,105.3,0.0,0.0688443497382231,0.1164835164835165,0.0,0.8835164835164835,1.0,0.0688443497382231,0.5111254715724083
Nashik,1486053,Maharashtra,18.9068356,75.6741579,115.2,0.0,0.1121910292586744,0.2252747252747253,0.0,0.7747252747252746,1.0,0.1121910292586744,0.5110405695743921
Tiruppur,898167,Tamil Nadu,10.9094334,78.3665347,104.5,0.0,0.0645536414703262,0.1076923076923077,0.0,0.8923076923076922,1.0,0.0645536414703262,0.5107383591967015
Aurangabad,1175116,Maharashtra,18.9068356,75.6741579,109.8,0.0,0.0869952830651171,0.165934065934066,0.0,0.834065934065934,1.0,0.0869952830651171,0.5103108283457454
Raipur,1010433,Chhattisgarh,21.6637359,81.8406351,107.2,0.0,0.073650743591225,0.1373626373626373,0.0,0.8626373626373627,1.0,0.073650743591225,0.509352844323085
Vijayawada,1034358,Andhra Pradesh,15.9240905,80.1863809,108.9,0.0,0.0755894264359197,0.1560439560439561,0.0,0.8439560439560438,1.0,0.0755894264359197,0.5065859220091686
Guntur,743354,Andhra Pradesh,15.9240905,80.1863809,103.7,0.0,0.0520088846370668,0.098901098901099,0.0,0.901098901098901,1.0,0.0520088846370668,0.5062242225383136
Amravati,646801,Maharashtra,18.9068356,75.6741579,102.4,0.0,0.0441850332387882,0.0846153846153847,0.0,0.9153846153846152,1.0,0.0441850332387882,0.5051694396963171
